,bad-tickers
0,BUJAW-US
1,GLIV-US
2,GNL-P-E-US
3,HROWM-US
4,HSPOW-US
5,IBDY-US
6,MFAN-US
7,MYSE-LSE
8,NFAM-TO
9,HEC-P-V
10,ACBB-BE
11,SJJ-BE
12,SWVK-BE
13,TGK-MU
14,VTSC-STU
15,03F-F
16,06Y-F
17,08M-F
18,0LA-F
19,1R3-F
20,1WH-F
21,23K-F
22,2LK-F
23,2YP-F
24,30X-F
25,32RD-F
26,36J-F
27,4BL-F
28,4MO-F
29,4NCA-F
30,5I4-F
31,6GU-F
32,6HQ0-F
33,6TW-F
34,75J-F
35,7J4-F
36,7QT-F
37,7X9-F
38,86W-F
39,8KC-F
40,8KH-F
41,8QP-F
42,8TE-F
43,97V-F
44,AZ9-F
45,BJG-F
46,CBGC-F
47,CCY-F
48,CVGU-F
49,FIG-F
50,GM8-F
51,J97-F
52,JALA-F
53,JR9-F
54,KE8A-F
55,KS70-F
56,LKY1-F
57,LNN0-F
58,LQPA-F
59,P750-F
60,PER0-F
61,PUP0-F
62,S3K-F
63,SUVA-F
64,TI9-F
65,TKY0-F
66,W2F-F
67,WOP0-F
68,YT2-F
69,MRK-VI
70,ALVO-IC
71,REFL-OL
72,NVL-USE
73,ICLE-EGX
74,PHTV-EGX
75,ROYALEX-XNSA
76,AIRTEL-MSE
77,SG-XNAI
78,ASL-SEM
79,041510-KO
80,043710-KO
81,083500-KO
82,198080-KO
83,270520-KO
84,352480-KO
85,424980-KO
86,008260-KQ
87,248170-KQ
88,394280-KQ
89,GSP-BUD
90,BRP-WAR
91,JSCL-KAR
92,STPL-KAR
93,001298-SHE
94,301359-SHE
95,603057-SHG
96,688130-SHG
97,EASTN0000-CM
98,TAJN0000-CM
99,BKC-VN
100,C47-VN
101,MKV-VN
102,PLP-VN
103,PSI-VN
104,PTL-VN
105,TOT-VN
106,BTR-US
107,ECCV-US
108,PAWH-US
109,PBKC-US
110,THBD-US
111,IKIV-LSE
112,PEMC-V
113,8GA-BE
114,FPLB-BE
115,GHU-BE
116,KB2-BE
117,LSX-BE
118,LX6-BE
119,NE9-BE
120,RPD-BE
121,RSM-BE
122,SHN-BE
123,W8A-HM
